Age,Potential,Value,ShortPassing,Balance,Strength,Interceptions,SlidingTackle,BMI,Work Rate_NUM
29,78,12000000,77,59,79,73,73,24.62,2
30,76,6500000,74,76,61,69,77,21.63,1
27,90,90500000,84,67,78,88,89,22.4,6
29,79,15500000,78,79,66,72,79,22.49,1
34,75,2100000,74,70,65,74,70,22.6,2
29,81,22500000,81,73,69,77,75,21.46,8
28,78,12500000,75,93,77,74,73,24.22,0
21,81,27500000,78,81,68,77,81,21.78,8
31,83,25000000,79,73,70,84,84,24.3,8
28,78,12500000,73,70,74,76,76,22.53,0
28,78,12500000,78,82,59,69,75,21.72,2
34,76,2400000,75,65,69,79,78,22.4,6
29,76,6500000,77,83,72,75,73,26.37,2
30,74,3600000,70,76,73,71,65,24.11,2
28,79,16000000,71,77,79,74,75,24.84,3
25,82,14500000,72,64,76,72,74,21.56,2
28,77,9500000,72,81,72,77,71,26.12,2
31,80,15500000,81,82,75,79,75,27.45,2
35,77,3200000,75,66,76,78,77,23.33,8
34,75,2300000,78,79,55,77,76,24.22,2
28,80,18000000,72,63,83,78,82,24.52,8
24,86,40500000,79,72,69,78,82,24.3,0
24,80,8000000,73,70,69,73,70,21.33,2
34,78,5000000,79,69,64,69,79,23.2,6
31,75,4100000,75,79,60,76,68,25.06,2
27,81,25000000,78,74,75,74,77,21.04,2
31,79,12500000,77,81,61,77,79,21.55,2
32,77,7500000,79,78,73,73,72,23.55,2
34,81,8500000,76,60,80,79,85,24.08,8
33,74,2200000,70,69,70,72,69,22.4,0
31,74,3100000,75,81,60,68,67,25.69,0
33,71,1200000,72,80,65,70,70,24.82,0
28,78,12500000,75,69,76,75,74,21.43,8
30,73,2600000,75,71,81,70,72,23.04,2
30,77,9000000,77,62,65,74,77,23.63,2
29,75,4900000,77,75,63,70,69,22.02,8
33,80,5500000,77,63,74,76,80,21.67,2
29,80,18500000,76,70,73,79,77,23.2,2
31,78,10000000,79,71,68,78,77,23.24,8
32,75,3900000,76,75,65,73,75,20.6,0
35,81,5500000,72,43,87,80,83,23.52,2
31,78,10000000,79,75,66,76,74,22.34,2
30,79,15000000,76,57,75,76,82,23.77,2
32,76,5000000,69,77,76,71,75,25.61,2
31,74,3100000,76,69,69,70,68,23.62,8
29,73,2700000,72,73,63,65,65,21.3,0
22,80,13500000,74,82,76,73,75,25.26,2
29,79,15500000,75,68,66,76,78,22.64,0
32,86,44000000,82,62,86,89,86,26.32,0
33,79,8500000,77,55,77,78,78,24.08,8
30,80,17500000,79,71,74,83,81,21.56,2
28,72,2300000,74,65,75,74,76,24.42,0
26,82,21000000,77,63,78,78,80,23.7,2
24,84,32500000,78,74,65,78,79,21.46,0
32,75,3900000,77,85,62,62,73,23.51,1
22,84,25000000,77,67,74,72,79,24.11,2
27,77,8000000,75,74,73,75,73,22.6,2
28,76,7000000,75,70,69,74,73,22.34,1
24,86,30500000,79,64,87,80,79,22.2,2
25,87,41000000,76,44,88,83,86,22.71,6
32,73,2100000,72,67,80,71,66,24.11,0
29,76,6500000,74,70,71,73,72,24.62,6
32,79,11500000,71,69,78,78,79,23.15,8
32,78,9500000,77,74,66,79,80,24.58,0
27,81,25000000,78,89,56,73,69,22.13,0
32,75,3900000,73,90,56,70,71,22.65,2
31,74,3100000,75,77,66,70,71,21.53,2
30,77,9000000,75,74,77,71,73,24.26,0
28,78,12500000,73,78,51,70,72,21.22,2
30,72,2200000,73,81,64,72,68,23.78,0
26,79,15000000,78,66,72,78,78,20.52,2
27,74,4100000,68,86,72,73,71,25.06,0
29,74,3700000,72,76,73,70,69,23.04,0
34,76,2700000,76,67,67,82,73,21.5,0
35,75,1700000,75,72,71,74,73,24.54,2
29,77,9500000,73,54,65,73,72,22.77,8
33,76,3900000,74,58,78,72,73,24.28,8
30,78,12000000,75,86,50,71,73,23.18,2
34,74,1400000,77,59,71,76,75,25.45,2
31,76,5500000,73,75,65,72,71,22.72,1
23,85,29500000,81,67,66,78,78,18.51,1
27,75,4400000,72,85,63,69,71,23.78,2
36,85,9500000,80,66,82,88,84,23.59,6
30,78,12000000,75,67,74,71,75,28.41,2
28,75,5000000,73,73,76,72,70,23.12,2
24,81,9500000,69,79,50,75,77,22.86,2
27,80,19500000,76,64,84,81,79,22.64,5
24,84,21000000,76,71,73,73,73,22.86,2
23,84,20000000,73,70,90,81,76,21.11,6
29,79,15500000,76,81,70,72,75,23.18,2
29,78,12500000,78,67,72,76,75,26.26,2
28,80,19000000,76,78,72,74,74,23.84,0
23,89,56500000,77,63,80,84,82,22.55,8
33,75,3500000,78,83,90,70,72,22.58,8
29,76,6500000,75,81,57,74,74,22.65,2
21,79,19000000,76,90,44,75,76,23.03,2
27,81,22000000,75,79,67,76,77,22.02,8
28,76,7000000,75,72,66,74,70,22.79,8
25,84,35000000,74,60,89,77,77,22.63,2
21,84,25000000,80,79,68,76,74,20.98,2
30,78,12000000,72,64,77,77,76,23.33,8
28,76,7000000,73,83,59,69,75,22.23,2
23,81,10500000,75,84,54,75,73,24.49,8
30,77,9000000,80,60,78,77,77,23.12,6
26,74,4200000,74,62,81,67,69,22.45,2
28,77,9500000,72,71,64,68,70,21.15,0
35,74,1300000,74,75,67,75,72,25.35,8
29,77,7000000,72,61,78,79,76,23.77,2
35,80,6500000,77,69,64,81,81,23.77,8
34,75,2100000,70,67,69,75,74,20.76,2
27,77,8000000,74,72,65,72,76,21.98,2
27,78,11000000,73,92,73,72,75,23.74,2
28,73,2800000,73,76,70,72,70,23.57,2
26,75,3500000,69,67,68,66,70,23.59,2
25,86,44500000,74,68,77,83,86,23.33,3
26,85,35500000,78,63,81,83,81,22.21,6
28,74,3800000,74,83,71,77,73,24.21,8
34,77,3900000,70,55,81,76,69,22.96,2
23,87,48500000,76,72,72,84,92,21.5,6
34,73,1100000,73,64,75,70,71,24.45,2
29,74,3700000,74,73,73,68,74,23.81,8
27,78,11000000,75,79,67,69,74,21.85,2
33,78,7500000,78,73,64,77,78,21.2,0
26,80,19000000,79,64,79,76,79,24.84,2
25,81,25000000,67,63,79,82,84,25.03,2
29,70,1400000,67,79,64,65,62,24.39,0
29,77,9500000,73,73,72,73,72,20.83,2
28,72,2500000,66,48,86,71,69,22.52,0
31,73,2500000,75,52,82,68,73,24.28,0
31,76,5500000,73,76,64,74,76,22.6,2
25,82,21500000,75,66,76,78,80,23.41,3
26,77,6500000,69,64,67,75,70,21.97,2
26,77,8000000,70,72,71,74,74,21.39,8
28,79,16000000,77,78,66,74,76,24.0,0
31,79,12500000,77,64,76,82,81,22.79,6
28,74,3800000,72,59,71,71,70,21.33,1
31,72,1700000,68,77,71,69,65,22.64,2
32,76,5000000,74,68,71,75,75,23.81,0
36,74,650000,78,75,66,72,72,22.41,8
24,82,22000000,76,67,77,78,75,24.07,2
23,85,34500000,73,65,79,83,82,24.02,6
27,73,2900000,70,74,78,68,69,27.77,8
31,71,1400000,70,70,72,70,66,24.11,8
28,76,7000000,73,82,66,73,68,21.55,2
28,72,2100000,69,77,79,68,69,26.79,2
28,74,3800000,72,53,71,68,71,21.86,2
26,81,16500000,77,68,76,81,80,23.15,6
38,73,675000,70,69,77,67,73,23.33,2
30,75,4800000,72,75,65,75,71,23.84,2
22,82,11500000,74,72,74,74,70,22.15,2
29,73,2700000,71,73,71,71,71,22.72,2
25,75,2400000,74,79,62,68,65,22.16,0
28,75,5000000,71,67,77,70,69,23.59,2
25,74,4200000,68,87,44,67,68,23.53,2
28,72,2100000,67,74,80,68,62,23.94,2
28,72,2100000,65,81,70,68,64,25.47,2
29,70,1700000,71,68,76,69,72,24.15,6
27,81,22000000,76,80,59,79,80,24.22,0
31,79,8500000,71,60,82,80,78,25.62,8
28,79,16000000,79,68,69,79,80,22.94,6
27,75,4400000,70,70,72,70,71,22.47,8
31,75,3900000,73,58,86,75,73,23.24,6
31,77,7500000,76,66,67,78,76,23.25,1
30,75,4800000,75,78,68,74,78,25.1,6
31,74,3100000,69,66,71,72,69,23.04,2
32,72,1600000,67,74,62,67,70,22.09,8
32,73,2100000,73,65,70,69,73,21.3,2
28,75,5000000,71,80,69,69,72,23.62,8
36,72,525000,71,78,64,72,66,24.49,2
24,80,9500000,75,66,71,80,76,21.86,2
23,82,11000000,74,77,66,69,71,21.37,2
35,74,1300000,70,80,64,72,70,23.84,2
36,73,675000,71,80,56,72,69,22.31,2
34,77,3400000,74,75,75,84,77,23.55,6
29,74,4700000,76,67,72,77,70,22.1,8
33,74,2200000,74,68,65,72,72,22.22,2
34,75,1800000,71,66,80,77,74,23.99,6
25,76,3700000,67,84,60,63,72,23.39,2
23,81,8000000,75,71,69,73,72,22.66,8
26,82,21000000,69,73,78,70,80,24.52,2
24,78,5500000,69,85,60,67,70,22.57,2
30,81,21000000,75,61,79,83,84,23.25,8
25,79,7000000,69,73,71,68,71,21.22,0
33,70,800000,62,72,77,71,66,25.54,8
23,81,10500000,72,66,77,73,70,20.02,0
34,84,13500000,80,35,86,85,83,22.58,2
28,79,16000000,69,64,80,75,74,24.52,2
30,82,25000000,80,63,82,87,82,21.04,3
27,89,77000000,82,60,84,87,86,23.3,8
24,80,13500000,74,60,74,76,74,23.04,8
26,77,5000000,73,83,69,69,72,27.36,2
21,90,75000000,75,62,93,81,85,24.92,6
34,85,17500000,81,53,86,86,81,23.55,6
29,78,12500000,74,67,77,70,78,24.45,2
26,76,3700000,71,72,61,69,73,22.34,2
27,73,2900000,69,77,57,66,69,22.41,0
30,74,3600000,69,75,71,66,70,22.6,2
29,74,3700000,73,74,69,73,72,24.3,2
31,70,1300000,73,55,81,68,70,22.45,8
33,73,1600000,70,66,64,68,68,23.94,8
31,77,6000000,76,75,69,75,75,22.53,2
30,73,2600000,72,63,69,74,71,23.37,2
28,77,9500000,73,73,79,76,74,25.34,2
31,76,5500000,76,69,69,76,75,26.53,2
28,68,1100000,66,79,70,64,62,23.18,7
26,78,11500000,70,81,59,70,74,22.02,2
28,75,5000000,71,55,90,69,74,24.49,2
23,83,20000000,70,67,56,76,76,23.1,0
29,75,4900000,71,73,56,73,70,22.15,0
25,80,13000000,72,73,75,70,71,22.64,2
26,78,6500000,75,67,77,79,73,24.81,2
32,74,2900000,74,73,72,70,71,24.16,2
30,75,4700000,74,63,92,75,70,22.35,3
25,78,7000000,71,68,74,71,71,22.4,0
32,72,1600000,75,77,66,73,71,24.39,8
30,75,4800000,74,82,63,71,73,20.15,2
29,75,4900000,70,86,65,74,75,24.91,0
32,69,975000,70,74,67,65,68,24.77,2
29,76,6500000,66,69,57,73,76,23.67,2
25,74,4100000,74,55,74,76,70,21.79,8
27,74,3200000,66,81,69,67,65,22.02,0
28,74,3800000,70,69,70,72,68,21.6,2
27,75,5500000,73,76,64,75,78,23.24,2
28,74,3800000,69,74,59,68,68,23.12,2
32,73,2100000,69,62,75,72,68,22.53,6
29,81,19500000,80,64,78,83,81,23.04,2
19,87,12500000,74,60,84,69,76,23.37,0
30,72,2000000,73,75,77,68,68,25.5,2
25,83,13500000,76,65,79,72,75,23.29,8
24,82,15000000,69,83,70,74,75,24.49,2
27,80,17500000,71,41,91,76,81,24.93,6
29,76,6500000,75,70,69,75,77,24.26,8
28,77,9500000,75,62,78,74,74,23.29,8
33,75,3500000,75,40,86,73,74,22.4,8
23,81,14000000,78,75,48,74,73,21.85,2
24,81,18000000,72,79,65,77,77,22.34,0
27,76,7000000,64,66,80,71,75,24.31,0
26,76,6000000,74,77,60,65,67,23.77,0
33,78,7500000,73,72,69,73,72,23.11,0
27,85,42500000,79,49,84,84,79,23.57,8
28,74,3600000,71,63,74,76,72,23.7,8
27,86,41000000,83,59,78,83,82,21.5,2
27,72,2300000,70,80,55,67,70,23.74,2
28,74,3800000,76,73,66,71,73,20.24,8
27,76,7000000,73,66,75,75,76,20.45,0
23,75,2400000,72,88,71,62,72,25.61,0
30,73,2600000,71,74,56,74,72,21.88,8
31,78,10000000,74,77,62,78,78,21.13,6
27,70,1400000,67,83,74,66,65,24.34,6
26,75,4500000,69,71,68,72,68,22.53,2
28,72,2100000,71,76,61,67,67,23.12,2
25,74,2300000,66,77,72,70,65,20.37,2
24,78,5500000,70,77,75,71,73,24.22,8
25,80,21000000,73,71,68,77,76,23.94,2
28,71,1700000,68,71,64,59,65,20.52,2
38,76,1300000,75,62,77,74,75,24.38,0
34,78,5000000,77,79,53,77,79,22.65,8
30,72,2000000,73,83,63,71,71,25.01,8
32,72,1600000,72,80,70,66,72,22.84,8
27,73,2900000,67,74,68,67,67,21.46,8
28,73,2800000,69,69,75,73,70,22.69,2
34,69,450000,66,65,71,67,67,24.38,0
26,77,3800000,72,83,63,72,69,22.79,0
32,75,3900000,77,69,71,77,77,22.72,6
20,83,4900000,67,76,77,72,65,23.92,2
34,71,700000,72,72,66,68,71,22.78,2
25,87,45500000,80,60,87,84,84,22.4,6
24,82,10500000,68,76,70,65,73,22.22,8
32,70,1100000,61,61,75,63,62,22.04,1
30,72,2300000,70,53,74,73,71,23.7,2
32,73,2200000,71,73,64,69,71,23.1,2
28,86,42500000,78,41,90,86,78,26.57,0
26,73,1800000,68,73,68,71,67,23.3,2
30,74,3600000,70,72,63,72,73,23.67,2
25,75,5500000,71,73,59,72,71,23.57,8
25,82,21500000,75,66,64,78,72,24.69,0
22,77,3000000,72,73,72,66,70,23.3,0
31,78,9500000,69,54,85,77,76,23.24,0
25,77,10500000,73,69,56,73,73,23.67,8
32,68,825000,65,83,80,60,67,22.21,6
26,77,6500000,78,75,65,68,74,23.66,2
31,72,1700000,67,87,65,68,67,24.49,2
24,79,6000000,70,78,63,77,67,21.91,2
29,76,6500000,72,66,71,68,68,21.6,2
32,76,5000000,71,62,74,70,72,24.73,2
24,82,15000000,73,64,74,63,70,23.08,8
31,74,3000000,73,62,77,75,73,22.02,6
33,76,3900000,76,66,69,80,69,21.67,8
24,79,9500000,74,69,68,74,74,23.59,2
36,75,775000,75,81,66,78,77,24.77,6
27,72,2300000,66,80,63,61,66,24.11,2
34,77,3400000,71,67,70,86,82,23.59,6
32,83,23500000,77,52,87,83,84,26.04,8
27,75,5500000,69,69,73,66,73,26.09,2
29,72,2100000,70,81,68,60,74,25.21,2
26,82,14000000,80,54,90,76,73,25.36,6
31,70,1200000,72,69,59,68,67,22.34,8
28,73,2600000,72,64,79,71,70,21.61,2
34,74,2000000,72,64,69,80,77,23.36,6
35,73,800000,75,69,82,70,68,24.88,6
27,79,15000000,72,71,75,75,77,22.53,6
25,83,25000000,79,65,80,81,76,26.02,8
28,68,1200000,69,79,64,66,66,23.94,8
30,75,4800000,75,72,60,75,76,21.88,8
33,75,2900000,70,67,75,76,72,24.78,2
26,77,6500000,69,87,48,72,69,21.14,0
29,75,4900000,76,72,64,73,77,23.3,8
29,72,2000000,70,66,80,70,67,23.67,8
31,72,1700000,65,79,78,68,66,22.98,0
34,75,2000000,76,71,68,76,75,21.15,8
27,71,1800000,70,82,82,69,66,24.16,8
30,69,1200000,73,86,55,64,69,20.52,2
30,72,2000000,71,57,76,70,69,23.96,0
25,72,2200000,72,71,54,65,73,20.68,8
31,69,1000000,72,76,60,70,64,22.09,2
34,69,475000,64,71,74,71,66,22.86,3
27,68,1200000,63,71,76,64,64,22.84,2
34,72,850000,71,62,62,73,70,23.62,2
30,74,3600000,74,57,67,74,74,22.02,8
26,78,6500000,70,61,78,75,76,22.5,2
30,71,1600000,64,84,71,61,64,22.66,8
21,82,15000000,75,89,67,70,76,23.46,1
31,72,1700000,64,75,71,67,70,22.66,7
35,71,575000,70,70,67,72,71,25.03,8
26,77,8000000,70,83,45,78,76,22.46,2
25,77,3900000,67,76,57,67,64,20.06,8
28,71,1700000,69,71,75,57,62,21.33,2
26,74,3300000,69,72,69,71,69,22.02,0
30,69,1200000,68,87,60,65,66,21.8,2
35,72,875000,72,77,70,73,72,22.94,0
30,77,9000000,75,50,80,83,80,21.79,6
31,72,1700000,68,53,76,67,66,23.48,2
28,88,68500000,78,39,86,85,87,22.2,6
28,84,30500000,76,53,87,82,81,25.13,6
30,71,1600000,66,79,63,67,65,23.41,2
29,79,15500000,75,66,71,74,74,22.86,8
30,71,1600000,68,66,71,65,64,23.04,2
29,69,1200000,63,73,71,67,61,22.22,1
31,72,1700000,72,74,67,71,69,22.53,2
30,72,2000000,75,72,63,68,72,23.41,2
32,75,3900000,68,79,68,73,71,24.39,8
28,70,1400000,67,74,67,72,70,23.88,2
29,74,3700000,73,64,66,70,73,23.1,8
29,75,4900000,67,77,73,72,74,24.0,2
32,70,1100000,73,63,72,69,62,22.4,2
38,72,425000,62,61,87,63,70,23.24,8
24,77,3300000,66,82,57,66,68,21.97,2
26,77,3100000,68,63,74,72,71,21.5,6
23,83,15500000,74,66,84,81,78,20.88,6
31,72,1700000,73,81,56,68,65,21.05,0
30,73,2600000,73,69,69,68,71,24.07,2
22,82,6500000,69,68,64,66,65,21.98,1
31,73,2600000,66,73,70,70,75,22.59,0
21,83,9000000,72,36,74,77,76,21.66,8
33,69,725000,66,83,61,60,64,24.39,0
21,84,16000000,75,63,62,70,75,23.08,8
27,77,8000000,74,68,56,72,74,22.45,8
26,77,4900000,73,60,76,76,71,23.99,6
24,75,2500000,71,77,67,64,70,23.1,2
31,78,9500000,78,60,75,80,77,23.77,6
28,71,1700000,66,71,71,63,69,24.34,2
31,70,1200000,66,82,74,65,72,24.28,8
27,79,11000000,65,65,86,78,85,24.33,0
28,71,1600000,71,68,78,72,72,25.31,8
27,73,2500000,65,75,66,65,72,23.24,2
26,71,1700000,58,59,85,62,64,21.73,2
29,70,1400000,70,71,68,70,67,22.89,2
26,77,6500000,76,66,77,76,74,24.76,3
24,73,2000000,70,72,77,66,64,24.25,0
29,75,3900000,73,67,78,76,70,23.55,8
30,73,3000000,75,69,74,69,73,23.29,5
19,79,1500000,68,86,71,68,68,23.36,2
26,75,3500000,70,77,62,65,66,22.41,0
23,79,9500000,72,74,66,70,73,20.9,8
21,73,3300000,67,77,56,73,72,22.86,8
19,83,11500000,72,77,65,72,73,21.05,2
28,74,3800000,71,74,72,72,72,23.2,2
35,70,450000,70,67,79,74,67,20.99,3
33,77,5500000,77,72,61,71,77,23.18,2
24,80,6000000,72,77,70,70,65,22.13,2
24,76,2600000,70,77,63,67,70,24.49,2
29,74,3700000,72,63,55,70,72,21.63,2
28,76,7000000,72,76,65,69,74,22.59,2
31,74,2900000,76,65,80,74,74,21.2,8
22,80,10000000,77,86,53,75,74,21.45,2
32,75,3900000,75,64,80,66,73,22.22,2
34,72,850000,70,74,64,73,66,22.65,6
27,72,2300000,71,78,62,61,72,23.39,6
27,64,625000,61,76,86,65,65,25.11,0
32,71,1300000,68,71,72,65,63,21.91,2
35,70,500000,64,55,69,70,67,21.15,0
28,72,2100000,68,74,60,65,69,20.38,2
27,72,2300000,65,83,67,67,68,25.35,2
29,76,6500000,68,63,86,72,74,24.49,8
33,70,750000,68,72,74,66,72,22.84,2
31,73,2900000,70,71,72,76,74,22.55,8
33,76,3000000,73,75,69,80,78,22.92,2
30,71,1600000,65,81,61,64,64,24.09,2
33,72,1300000,73,67,86,75,66,23.72,8
24,75,4800000,70,73,63,74,75,21.63,2
30,66,825000,67,65,76,66,64,22.69,0
34,71,700000,72,67,62,63,68,22.34,0
27,73,2500000,70,84,62,67,64,21.45,2
36,71,425000,72,69,80,72,71,23.57,8
33,71,975000,66,64,70,66,69,24.07,2
35,69,425000,66,77,67,71,64,23.18,2
22,88,48500000,81,65,81,83,77,22.58,6
22,89,53000000,80,74,79,86,83,22.89,0
24,75,2500000,67,73,74,71,63,23.3,1
26,70,1200000,64,83,70,63,64,24.44,6
25,75,5500000,70,71,67,74,74,23.38,8
27,73,2500000,70,74,64,67,65,20.02,2
29,75,4700000,77,54,70,77,76,22.84,8
32,70,1100000,66,81,80,65,65,23.78,8
31,73,2200000,65,86,73,69,69,21.05,0
31,69,1100000,70,62,78,71,68,23.2,0
25,76,3000000,67,73,62,72,65,24.06,8
23,81,8000000,71,64,80,74,73,22.94,8
36,72,525000,73,72,64,73,68,23.78,8
32,83,16500000,73,33,91,82,81,25.2,8
24,79,7500000,72,69,69,73,74,20.45,2
29,76,6500000,68,64,78,81,76,23.48,2
32,70,1100000,70,68,73,67,68,24.38,1
27,72,1700000,71,87,57,65,65,23.39,3
30,72,2000000,69,89,31,69,66,21.71,8
32,73,2100000,69,66,72,73,68,23.67,8
33,75,2900000,73,73,73,73,73,24.58,8
32,71,1300000,70,64,76,70,70,24.84,8
31,73,2600000,72,66,76,68,72,22.92,2
31,68,850000,66,72,70,68,70,24.34,6
26,73,2500000,71,83,56,66,67,24.21,2
28,72,2100000,64,67,76,64,65,22.4,2
29,75,4900000,72,66,72,73,73,22.22,2
26,73,2500000,71,66,62,71,64,23.15,2
21,71,2000000,66,73,71,59,69,25.76,8
32,69,925000,65,46,90,68,66,21.61,8
32,70,1100000,65,71,74,65,70,25.76,1
33,73,1500000,73,52,87,71,67,22.26,6
28,72,2700000,70,75,78,73,72,25.39,8
25,80,13000000,74,63,66,77,72,20.9,2
26,83,28000000,78,74,77,86,81,23.85,8
23,77,3900000,71,76,79,72,73,24.07,8
33,78,4900000,73,71,75,81,80,24.42,6
33,77,5500000,73,54,71,76,77,21.27,6
26,84,30000000,72,52,93,80,78,26.32,8
28,74,3800000,69,55,76,71,71,25.15,8
29,74,3700000,69,76,64,71,67,21.47,2
23,75,2500000,67,70,70,66,65,22.72,2
21,81,8500000,73,74,63,70,71,21.78,2
26,74,3300000,69,66,72,70,72,24.52,8
31,71,1400000,67,91,44,71,68,22.32,2
21,80,3400000,65,78,68,63,68,23.3,2
25,82,17500000,78,71,77,78,81,22.59,8
32,83,23500000,76,53,82,85,81,23.82,3
28,73,2800000,68,72,68,67,68,22.99,2
27,74,3200000,69,75,72,70,68,22.72,2
26,83,24500000,77,62,83,82,81,23.63,6
32,72,1600000,71,81,66,64,65,20.81,0
23,80,6000000,69,76,67,68,66,23.15,2
30,69,1200000,68,65,71,63,64,23.04,2
39,71,375000,71,72,71,74,73,23.45,3
23,83,15500000,72,70,68,70,75,23.89,2
35,74,1300000,76,70,71,73,79,24.34,8
31,72,1600000,67,62,81,75,69,24.28,8
25,84,26500000,74,60,76,81,86,25.17,8
29,68,1100000,65,49,82,56,66,21.68,2
32,69,975000,69,75,60,71,68,21.88,8
28,84,34500000,76,50,88,81,82,23.55,6
24,81,10500000,76,66,81,78,74,24.25,6
34,76,2400000,66,76,74,78,78,24.07,6
32,75,3600000,69,70,77,75,77,21.97,0
27,71,1800000,66,91,42,65,64,24.02,0
31,75,4100000,68,67,73,73,75,22.79,8
32,73,2000000,72,59,78,74,72,23.45,8
23,81,6500000,71,69,57,70,63,22.86,0
24,82,10500000,69,60,81,72,74,23.15,6
28,74,3800000,69,76,67,70,72,24.44,2
33,68,625000,70,67,75,62,67,24.82,8
26,72,2000000,65,62,80,70,64,22.88,2
28,76,5500000,75,67,83,76,74,23.52,0
33,70,500000,68,67,74,70,75,24.69,8
27,73,2900000,70,70,66,70,72,21.5,8
32,70,1100000,72,76,60,73,72,19.71,8
29,67,900000,66,73,68,65,65,22.4,8
25,77,3900000,65,70,84,70,71,25.34,2
26,69,1400000,66,75,71,55,65,23.15,2
24,71,1500000,68,82,65,67,60,23.39,8
23,84,16000000,68,48,75,75,75,23.04,2
26,72,1800000,65,74,73,60,64,22.89,2
26,86,37500000,78,58,80,84,79,23.41,6
31,69,1000000,67,80,46,66,67,21.2,8
26,79,8500000,75,64,78,75,75,22.84,6
33,81,12500000,73,58,80,84,80,22.69,6
33,71,950000,66,63,81,76,66,22.07,3
30,74,3500000,78,63,73,79,70,22.4,6
30,71,1600000,67,67,71,68,66,23.89,2
28,69,1300000,66,71,72,63,69,21.67,2
38,82,5500000,73,48,86,78,81,22.63,6
39,70,350000,73,83,57,65,66,23.46,8
31,72,1700000,68,75,78,66,66,24.38,0
30,71,1600000,71,57,77,71,72,23.08,2
31,71,1400000,69,81,54,65,73,23.74,8
31,72,1700000,71,74,71,70,70,21.78,8
30,72,2000000,65,65,69,69,67,21.0,2
31,75,3800000,71,62,76,76,74,23.7,8
