Age,Potential,Value,Crossing,ShortPassing,Dribbling,LongPassing,BallControl,SprintSpeed,LongShots,Aggression,Vision,BMI,Work Rate_NUM
23,85,28000000,70,80,74,77,81,70,78,68,76,21.75,8
23,88,51500000,75,83,83,78,84,76,76,64,81,21.72,2
27,80,20000000,71,81,79,81,81,66,82,75,83,21.91,8
30,80,20000000,69,82,80,81,81,68,72,88,80,23.89,6
24,82,12000000,74,69,79,55,78,86,74,78,77,21.46,8
28,79,17500000,74,78,80,65,80,75,81,74,79,19.59,2
21,85,28000000,65,81,77,82,79,73,72,78,80,23.16,0
24,80,9500000,72,79,76,84,82,73,72,67,77,21.86,1
26,80,13500000,75,81,73,78,76,68,76,75,75,24.64,0
28,79,15500000,63,81,70,82,76,76,76,80,75,22.05,8
35,79,4900000,70,78,75,79,78,52,84,80,78,22.15,0
29,79,15000000,74,84,66,77,79,61,81,83,74,20.88,5
30,78,13500000,77,79,80,77,80,70,77,71,82,22.94,8
32,78,11000000,80,77,76,78,79,62,79,72,80,22.72,8
25,86,43500000,66,83,76,80,80,61,79,87,73,24.54,6
27,79,18500000,81,82,85,71,84,79,82,50,80,22.5,2
29,81,25500000,89,84,86,85,90,51,91,60,84,23.15,7
22,88,49000000,84,83,85,81,85,75,77,63,86,21.46,2
25,85,32500000,70,80,73,82,79,66,67,86,74,22.72,6
21,89,58000000,80,79,85,69,87,83,83,67,78,21.68,2
34,79,6000000,72,78,75,72,75,73,66,81,71,23.15,6
18,89,29500000,70,81,80,77,81,71,64,77,77,20.53,0
28,77,10500000,76,70,76,64,73,91,86,49,65,21.53,0
26,82,30500000,79,79,86,77,85,76,67,77,82,24.0,0
29,75,5500000,77,76,74,75,76,68,73,84,74,24.91,6
28,81,26000000,70,72,88,66,82,88,75,78,70,23.12,2
28,82,30500000,81,82,85,72,84,76,76,57,82,23.18,0
24,85,41500000,81,84,84,82,86,72,80,68,87,23.84,2
27,84,45000000,81,79,88,73,85,88,82,65,77,21.33,0
28,79,17500000,68,79,77,76,80,74,75,75,76,22.45,0
33,79,11000000,75,77,82,74,84,75,78,77,82,22.4,2
30,75,5500000,69,77,77,68,78,75,68,83,73,21.71,8
25,81,14500000,73,82,76,77,82,71,75,72,77,23.88,2
28,84,42500000,88,86,83,89,85,77,77,73,89,19.84,0
26,82,17500000,72,80,71,75,78,69,72,72,74,21.88,0
29,82,30000000,78,80,89,77,89,65,86,59,82,22.99,2
30,76,7000000,70,76,78,75,78,64,73,56,75,22.65,0
26,77,9000000,71,80,71,77,75,55,79,77,71,23.74,0
33,76,4500000,70,79,70,75,79,60,74,82,80,23.78,8
27,83,35000000,81,85,86,83,88,62,84,57,86,23.99,8
31,74,3500000,74,76,76,73,75,68,76,81,74,25.06,0
23,81,9000000,66,76,76,71,76,85,75,78,70,22.45,0
30,74,4000000,73,73,68,81,75,61,80,80,69,24.19,3
26,80,13500000,67,81,75,80,80,68,68,75,74,23.66,8
27,78,12000000,63,81,73,77,76,65,75,68,76,22.99,8
34,76,3500000,76,75,76,75,74,73,74,76,72,23.29,0
21,86,22500000,72,81,76,80,79,82,74,80,77,24.11,6
30,80,20000000,75,85,85,81,84,69,77,68,82,22.69,8
24,84,24000000,65,81,70,79,78,74,68,86,74,22.28,8
29,82,30000000,82,85,84,82,88,67,68,59,86,22.66,8
30,78,13500000,76,76,82,70,81,76,69,66,72,25.22,8
28,75,5500000,72,75,78,72,78,82,69,80,71,21.6,0
26,76,4000000,65,73,69,69,71,76,73,84,71,23.72,0
25,86,64500000,74,82,88,78,83,77,82,63,83,24.86,2
25,82,15500000,65,80,75,72,78,77,65,87,74,23.66,0
26,78,6500000,64,76,74,73,74,72,73,78,71,25.06,0
24,80,14500000,70,85,75,78,78,81,65,79,74,22.74,6
29,80,20500000,78,79,81,73,80,88,76,65,81,23.78,2
29,77,10500000,72,77,77,74,76,73,82,69,75,22.4,0
18,89,37000000,62,79,80,78,80,73,69,82,78,21.68,0
26,78,7500000,63,79,75,74,76,75,74,66,74,25.8,0
30,77,10000000,77,80,73,80,77,60,78,75,79,22.2,8
27,80,22500000,79,81,83,77,84,73,78,56,81,22.02,8
29,77,9000000,67,80,76,81,77,74,73,77,77,23.94,8
26,80,12500000,71,79,75,76,77,72,68,65,76,24.09,0
30,75,5500000,73,76,72,76,74,64,70,73,78,23.29,0
36,74,1400000,76,72,80,71,75,76,64,76,79,24.34,0
19,90,33000000,74,79,83,78,84,78,78,52,80,21.88,8
31,74,3500000,77,77,79,76,80,72,69,75,79,23.41,8
35,80,6000000,67,83,80,78,83,55,80,76,82,25.22,7
28,83,36500000,81,85,87,74,87,78,77,66,84,22.84,2
28,76,7500000,71,81,74,78,78,64,74,69,75,23.7,0
29,78,14000000,77,80,83,75,82,67,80,90,78,23.63,0
30,72,2200000,63,74,71,67,72,79,65,77,73,22.98,0
25,82,23000000,67,82,84,79,82,63,77,74,79,21.46,0
36,79,6000000,75,75,84,69,83,65,81,73,81,25.16,1
31,76,6000000,72,74,75,72,79,71,71,69,81,23.41,2
27,77,7500000,67,80,73,72,75,69,70,83,71,25.1,8
31,78,10000000,82,80,70,79,77,53,65,81,77,23.84,8
31,72,2000000,68,71,74,74,78,80,76,77,77,21.74,1
31,75,4600000,66,76,77,75,75,74,76,78,74,22.2,8
31,81,21500000,82,79,80,71,81,87,77,52,78,21.3,2
32,76,6000000,75,78,77,73,73,79,75,56,80,25.25,8
28,78,10500000,73,77,76,74,77,90,76,65,76,22.14,2
32,80,16500000,81,88,81,76,81,72,76,69,82,23.88,2
30,77,8000000,76,80,73,81,81,66,74,71,80,23.94,8
25,80,9500000,74,72,81,68,76,91,62,78,72,21.55,2
27,76,7000000,70,77,77,73,78,73,71,75,72,25.11,8
30,78,13500000,81,79,78,77,78,74,79,63,78,22.98,8
29,80,20500000,72,81,78,80,81,69,75,72,79,24.69,8
27,76,8000000,68,81,75,75,80,75,68,69,77,23.39,0
30,78,13500000,70,77,76,79,78,63,77,81,75,23.45,2
21,91,82000000,73,80,86,67,87,83,80,68,82,21.98,8
26,83,27500000,62,83,85,75,86,65,73,78,80,21.63,8
28,76,6500000,67,78,75,70,78,79,72,80,75,24.44,0
24,84,26500000,76,82,81,79,83,72,72,83,84,21.97,0
34,75,2600000,76,75,73,74,77,70,76,71,72,22.28,2
30,81,24500000,72,87,85,78,84,62,74,66,82,20.83,0
32,73,2000000,71,70,72,72,74,73,83,76,69,22.34,2
26,81,24500000,70,84,79,84,80,66,78,80,82,22.1,8
25,82,23000000,77,81,79,78,83,66,79,70,80,21.15,0
29,75,5500000,66,77,80,74,80,77,64,72,73,20.75,2
24,81,11500000,62,75,80,73,79,69,75,85,74,22.15,2
29,82,30000000,78,81,91,80,90,62,78,58,81,25.5,7
21,92,94500000,75,84,86,78,88,82,77,64,84,23.6,2
32,79,11500000,73,79,74,77,79,71,73,74,75,23.81,8
33,85,33500000,83,85,85,80,86,83,82,56,86,24.38,2
23,84,27500000,59,79,76,77,77,64,76,85,78,25.1,0
31,78,10000000,72,77,78,75,76,81,59,85,68,26.02,6
33,81,13000000,72,82,78,79,81,49,77,82,78,25.2,8
32,81,20500000,73,77,87,75,85,91,83,56,79,25.35,8
26,80,17500000,68,80,78,78,81,65,75,76,77,23.2,2
35,77,4200000,67,81,77,75,81,63,85,68,80,24.68,0
28,80,21000000,76,84,84,79,85,68,72,60,82,22.78,8
26,74,3600000,73,74,69,70,75,73,72,63,75,25.8,2
27,79,8500000,67,74,73,72,76,69,75,81,71,21.66,6
23,84,24500000,66,84,78,83,80,68,67,74,82,23.55,6
27,78,15000000,73,83,75,80,78,76,66,77,76,22.6,6
21,87,31500000,64,77,80,68,81,84,72,80,76,21.88,2
31,74,3800000,70,78,72,73,78,69,78,73,75,24.42,0
33,84,27000000,82,86,88,77,88,74,89,58,87,21.88,8
31,76,6000000,74,85,76,78,78,67,72,72,73,25.01,0
27,78,15000000,70,76,81,62,80,76,69,74,76,22.72,0
34,79,8000000,79,81,80,80,82,69,82,66,77,21.6,8
32,77,8500000,61,79,75,77,77,67,67,90,75,23.5,0
24,89,77500000,82,83,85,73,85,81,81,52,85,24.11,2
23,83,21000000,74,80,81,75,81,67,77,69,77,23.51,2
29,75,5500000,77,71,73,72,74,75,76,72,75,22.34,2
31,79,14500000,85,82,78,78,83,53,83,57,80,22.26,8
30,85,52000000,77,85,89,81,88,82,77,54,84,24.16,8
34,76,3500000,73,80,72,83,82,52,80,81,80,26.79,8
24,78,4600000,70,74,78,75,74,68,80,80,68,23.7,2
26,77,5500000,72,73,76,70,74,81,70,79,72,22.41,0
27,77,6000000,72,78,72,76,76,63,70,80,72,21.16,6
21,82,4200000,58,73,67,71,70,73,74,84,69,22.89,0
27,75,4300000,67,73,72,72,74,78,77,67,72,24.39,8
29,76,7500000,74,82,80,78,83,68,78,65,77,22.64,2
27,77,8500000,74,78,77,76,77,68,72,67,77,22.98,8
35,78,5500000,82,84,73,85,84,47,80,71,80,24.38,7
30,79,17000000,77,79,79,62,81,86,76,68,77,23.25,2
25,81,18500000,74,75,78,68,76,89,83,56,75,25.76,2
27,77,11000000,60,73,83,67,74,94,72,66,68,20.76,1
29,78,14000000,76,77,79,67,78,74,75,67,73,22.49,2
28,80,21000000,77,81,83,76,84,76,77,65,79,20.9,1
27,79,11500000,73,78,77,76,79,78,63,69,72,23.55,0
29,79,17000000,72,80,78,79,81,55,78,69,82,23.67,8
29,74,4100000,72,75,71,75,75,65,75,79,74,24.44,0
29,74,5500000,79,79,80,77,79,61,78,76,77,23.94,8
26,77,6000000,66,75,71,74,74,72,73,88,64,21.85,6
26,76,6500000,71,81,83,69,75,78,67,72,74,22.59,0
25,77,6500000,75,72,79,75,80,75,59,75,74,20.91,2
32,74,3300000,67,77,71,75,75,59,76,77,72,25.44,2
37,77,2100000,61,82,70,79,82,66,80,70,77,24.58,8
23,86,33500000,71,81,85,77,80,83,81,68,82,24.93,2
28,76,7500000,75,79,77,77,79,67,78,69,75,20.23,0
33,84,21000000,62,84,71,79,78,67,68,85,76,22.69,8
28,80,21000000,80,82,80,75,82,76,80,56,78,21.85,2
22,83,15000000,74,75,81,69,79,71,76,53,79,21.3,2
19,88,45500000,79,79,84,63,80,82,65,66,79,20.52,2
34,80,8000000,77,80,82,65,83,80,78,70,83,25.06,8
31,79,12500000,62,81,73,80,78,65,70,83,74,24.15,0
28,78,10500000,72,79,78,81,79,71,81,63,79,23.31,1
25,78,7500000,70,78,78,75,78,79,72,65,77,21.63,2
33,81,16000000,75,80,87,73,88,80,78,58,82,25.1,7
35,85,22000000,83,90,86,83,90,57,73,56,90,22.39,2
26,77,7000000,71,73,83,75,82,87,71,64,77,23.03,2
25,80,9500000,68,76,74,76,74,72,70,75,74,22.99,6
29,74,4100000,72,78,74,76,76,67,70,68,69,22.65,0
31,76,6000000,71,80,74,78,80,66,72,57,74,22.84,8
26,80,17500000,62,80,78,74,80,77,79,76,74,21.62,0
24,80,6000000,74,74,68,77,73,67,74,87,75,21.36,2
25,79,17000000,75,78,75,75,77,66,64,81,73,23.94,0
31,74,3000000,59,72,70,69,70,78,77,87,68,24.77,0
29,79,17000000,79,80,80,78,82,73,81,61,80,25.21,7
24,79,9500000,59,80,71,71,82,69,75,75,68,20.45,3
24,78,4600000,69,76,77,73,79,73,74,68,64,24.49,2
30,74,3500000,50,83,80,71,82,78,70,59,73,25.14,0
30,77,10000000,69,78,82,81,82,70,83,65,82,22.94,8
34,76,3500000,77,75,78,69,75,77,71,73,75,24.03,2
29,77,10500000,72,79,79,77,80,72,80,69,79,23.18,2
25,83,27500000,78,87,79,84,90,64,73,71,86,21.97,8
22,92,94500000,72,84,86,78,85,86,77,42,81,23.2,8
31,76,6000000,73,76,81,70,80,76,74,67,76,24.31,2
24,82,20000000,71,78,85,71,81,75,68,67,78,21.2,2
25,75,3100000,68,73,73,69,75,75,72,77,68,24.72,6
25,74,4100000,70,73,74,74,75,69,72,65,77,21.39,8
33,72,1400000,72,75,80,74,79,68,73,73,74,21.88,8
32,76,6000000,76,78,74,77,76,58,79,69,74,23.36,0
29,78,13500000,69,80,77,77,81,65,75,72,80,23.16,2
23,87,46000000,78,84,86,79,86,58,77,51,83,22.47,6
24,76,3300000,63,74,72,71,72,68,68,77,73,22.34,5
24,78,6000000,73,72,76,72,71,73,71,70,72,21.88,0
27,76,6500000,70,75,74,73,77,70,72,66,76,21.37,8
27,75,6000000,68,78,76,76,78,66,76,64,74,21.86,2
28,74,4200000,68,75,74,74,76,67,71,76,72,24.38,0
30,86,65500000,81,83,91,75,91,79,80,48,84,20.91,8
29,75,4800000,59,74,67,77,73,70,71,81,64,24.9,8
22,83,21500000,66,79,77,77,78,71,69,77,77,22.28,6
25,80,13000000,75,77,76,65,76,82,62,84,76,23.67,0
28,74,4200000,63,74,77,72,78,65,75,81,76,26.15,8
31,75,5500000,62,77,76,69,74,68,73,82,67,25.4,6
28,77,10500000,76,73,77,66,75,88,71,64,78,21.31,2
25,77,3100000,68,71,71,67,72,76,73,78,66,21.46,8
28,75,5500000,65,77,71,78,74,59,76,73,75,22.84,8
21,81,27000000,61,82,77,78,76,78,59,75,77,22.86,2
29,81,25500000,84,82,81,80,84,78,85,70,82,22.64,8
28,85,39000000,79,79,93,72,86,75,76,46,79,21.55,2
34,76,2600000,71,82,70,80,80,53,73,80,77,24.38,6
25,76,4000000,66,73,76,70,76,84,73,84,74,24.38,6
23,79,8000000,75,80,75,75,75,69,68,75,76,20.8,8
25,86,48000000,81,81,84,80,86,81,83,45,81,22.94,2
25,79,6000000,59,77,73,73,77,78,82,73,70,24.22,2
28,74,4200000,78,74,74,77,74,74,76,67,72,23.94,2
25,79,10000000,67,76,73,73,77,67,75,74,73,21.3,6
25,80,14000000,70,75,80,70,75,87,73,67,73,22.06,0
25,78,9500000,73,70,76,65,75,84,63,74,71,21.79,0
31,72,1900000,77,75,72,74,69,62,59,81,77,22.72,6
35,73,1200000,75,75,75,67,77,64,82,61,77,24.21,2
31,79,12500000,68,80,78,79,80,38,76,75,82,23.1,6
32,77,8500000,75,78,86,74,85,67,68,87,79,23.46,8
20,83,12500000,63,74,70,76,76,61,79,68,73,22.92,8
29,74,3600000,72,81,74,80,81,55,71,68,74,25.26,8
29,72,2300000,70,69,71,66,72,81,73,74,65,22.86,0
26,84,23000000,65,80,70,76,76,58,69,78,78,21.84,0
23,83,16500000,72,77,84,74,80,70,78,55,76,21.6,8
26,82,33500000,77,85,83,79,88,77,80,85,81,21.5,8
26,81,18500000,73,82,81,76,82,64,78,58,79,23.82,8
29,77,9000000,62,78,68,74,75,68,68,81,73,23.72,8
31,74,3800000,67,72,63,70,71,51,81,88,68,23.29,8
25,77,5500000,65,77,80,73,80,64,76,75,80,22.31,8
31,73,3400000,70,76,73,68,77,72,68,83,72,23.94,0
22,84,17000000,66,81,81,73,80,87,73,60,76,22.23,2
34,81,9000000,63,78,74,77,77,55,63,82,77,24.34,3
36,75,1800000,76,72,79,68,78,86,62,59,71,23.18,0
28,81,26000000,79,76,83,71,81,86,81,72,75,24.44,2
30,76,6500000,74,78,62,75,76,50,77,85,67,23.12,6
30,75,5500000,76,77,75,75,76,65,73,66,76,24.03,6
32,74,4300000,73,74,70,75,74,74,69,65,76,22.05,0
32,76,6000000,67,80,73,79,76,65,70,82,77,25.31,6
32,76,6000000,77,79,77,80,78,55,77,69,75,22.16,2
27,76,6500000,71,77,75,74,75,58,74,72,77,24.15,8
30,72,2200000,68,73,70,72,74,60,74,80,69,21.56,6
29,81,22000000,58,81,75,78,77,67,67,80,72,23.48,6
28,75,5500000,77,82,68,78,80,52,76,64,79,21.74,8
30,76,7000000,82,80,76,79,77,45,80,69,80,23.81,8
27,71,2000000,56,70,64,74,68,88,79,86,72,24.39,0
20,86,23000000,59,76,82,74,81,87,68,69,75,22.34,0
30,78,13500000,74,80,80,73,81,75,73,69,76,25.69,2
26,75,3400000,64,76,73,72,74,75,74,63,69,22.6,8
32,76,6000000,74,79,76,78,79,53,77,79,77,22.53,6
30,86,65500000,77,87,90,84,93,84,82,34,89,22.21,2
36,72,750000,80,77,63,75,72,51,73,80,70,22.09,6
26,76,6500000,72,74,77,58,75,89,66,75,68,22.92,2
28,73,2600000,76,73,64,77,71,66,73,70,74,22.4,0
33,75,3500000,70,76,72,72,76,89,77,60,76,22.41,0
36,76,2400000,80,83,77,81,80,71,76,66,80,22.47,8
26,79,11500000,67,74,73,71,76,55,72,69,65,21.33,6
18,91,54000000,68,85,84,80,83,76,65,59,86,20.15,0
29,75,5500000,67,80,76,75,80,49,78,77,77,23.08,6
33,73,1900000,65,75,75,71,75,65,71,79,77,25.11,8
25,78,6000000,76,79,73,80,76,66,78,71,76,23.67,8
29,74,4100000,72,76,76,75,75,63,68,75,74,23.08,8
